dataset,task,n_components,framework,model,encoding,f1_macro_mean,f1_macro_std,accuracy_mean,gram_offdiag_std_mean,n_folds,sweep_start,parent_run_id,is_latest
cic-malmem,multiclass,1,classical,lightgbm,,0.11673518515623771,0.02675382146077912,0.51,,5,2026-07-14 12:21:19.395000+00:00,898786a56feb4536abe83b721d7fc0fa,False
cic-malmem,multiclass,1,classical,lightgbm,,0.1194680932044827,0.020456038208717598,0.5289999999999999,,5,2026-07-14 13:44:07.533000+00:00,d459dd3944fe4b629d7326f0f2e13580,False
cic-malmem,multiclass,1,classical,lightgbm,,0.1094444474827176,0.0226091615793859,0.11000000000000001,,5,2026-07-15 18:56:06.415000+00:00,b0f3e123a8eb4fa0aac418ec963b5ef9,True
cic-malmem,multiclass,1,quantum,qsvm,angle,0.08041494671709688,0.014434637754842454,0.515,0.31036368477391213,5,2026-07-14 12:18:47.635000+00:00,be20f9a1bac64fe0999ea8494dfe21e6,False
cic-malmem,multiclass,1,quantum,qsvm,angle,0.05496877845820428,0.009513871477020966,0.1,0.11917186420310728,5,2026-07-25 08:21:02.937000+00:00,c2e760ba82cc4991a3e64d5dee1e18df,True
cic-malmem,multiclass,1,quantum,qsvm,iqp,0.05593358032321423,0.007708414133428709,0.101,0.09269304224982632,5,2026-07-25 08:25:14.843000+00:00,0a9eb01016f34b9688588953aa07f323,True
cic-malmem,multiclass,1,quantum,qsvm,joint,0.09933719056015712,0.01926834022154554,0.539,0.12523741307498706,5,2026-07-14 13:29:20.101000+00:00,2c4939db51544f8684b18a4952881bd7,False
cic-malmem,multiclass,1,quantum,qsvm,joint,0.05765708908839197,0.007555746032103817,0.098,0.1065427623138222,5,2026-07-15 18:38:14.441000+00:00,6b7856f689404628a14810670b71e0c9,True
cic-malmem,multiclass,1,classical,random_forest,,0.08326020018735034,0.01247223123705077,0.4800000000000001,,5,2026-07-14 12:19:21.939000+00:00,0bff0916b7944a77a174368959f17c26,False
cic-malmem,multiclass,1,classical,random_forest,,0.11886156726513875,0.013931225336525842,0.5269999999999999,,5,2026-07-14 13:41:08.397000+00:00,74b7c165a95341a0af703a5854884877,False
