dataset,task,n_components,quantum,classical,qsvm_f1_macro_mean,classical_f1_macro_mean,delta_classical_minus_qsvm,ttest_statistic,ttest_pvalue,wilcoxon_statistic,wilcoxon_pvalue,ttest_significant_at_05
cic-malmem,multiclass,1,qsvm-angle,random_forest,0.05496877845820428,0.12830469957598536,0.07333592111778109,-4.731539547768128,0.009093752055044067,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-angle,xgboost,0.05496877845820428,0.10101408832749752,0.046045309869293234,-9.837576495594643,0.0005987683021864619,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-angle,lightgbm,0.05496877845820428,0.1094444474827176,0.05447566902451332,-5.149757650812592,0.0067455862233583306,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-angle,svm,0.05496877845820428,0.10746862194622038,0.0524998434880161,-10.112798828412899,0.000538111767192207,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-iqp,random_forest,0.05593358032321423,0.12830469957598536,0.07237111925277113,-4.693898841140678,0.009350636073041553,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-iqp,xgboost,0.05593358032321423,0.10101408832749752,0.04508050800428329,-5.972233329025782,0.0039490828446908125,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-iqp,lightgbm,0.05593358032321423,0.1094444474827176,0.05351086715950337,-4.539644064404161,0.010499951679471924,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-iqp,svm,0.05593358032321423,0.10746862194622038,0.05153504162300615,-9.584941890859094,0.0006620913078559404,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-joint,random_forest,0.05765708908839197,0.12830469957598536,0.0706476104875934,-4.422050084830902,0.011492603811749507,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-joint,xgboost,0.05765708908839197,0.10101408832749752,0.04335699923910555,-6.055557622875549,0.003753471525768435,0.0,0.0625,True
