run_id,status,start_time,end_time,metrics.recall,metrics.f1_class_0,metrics.f1_class_7,metrics.f1_class_13,metrics.f1_class_14,metrics.f1_class_11,metrics.f1_class_2,metrics.f1_class_4,metrics.accuracy,metrics.f1_macro,metrics.fit_time_sec,metrics.roc_auc,metrics.f1_class_3,metrics.f1_class_8,metrics.f1_class_9,metrics.inference_time_sec,metrics.f1_class_1,metrics.precision,metrics.mcc,metrics.f1_class_5,metrics.f1_class_6,metrics.tune_time_sec,metrics.f1_class_10,metrics.f1_class_12,metrics.recall_mean,metrics.accuracy_mean,metrics.f1_macro_std,metrics.mcc_mean,metrics.mcc_std,metrics.precision_mean,metrics.inference_time_sec_std,metrics.recall_std,metrics.fit_time_sec_std,metrics.roc_auc_mean,metrics.tune_time_sec_mean,metrics.roc_auc_std,metrics.tune_time_sec_std,metrics.inference_time_sec_mean,metrics.precision_std,metrics.fit_time_sec_mean,metrics.accuracy_std,metrics.f1_macro_mean,metrics.kernel_evals,metrics.kernel_build_train_s,metrics.gram_offdiag_std,metrics.kernel_build_test_s,metrics.f1_class_15,params.task,params.learning_rate,params.dataset,params.num_leaves,params.n_estimators,params.n_components,params.colsample_bytree,params.framework,params.n_jobs,params.subsample,params.model,params.max_depth,params.max_features,params.min_samples_leaf,params.class_weight,params.C,params.gamma,params.n_qubits,params.bandwidth,params.encoding,tags.sweep,parent_run_id
3b8f98d0719c430ebb7361142ef58d77,FINISHED,2026-07-09 11:09:59.567000+00:00,2026-07-09 11:09:59.664000+00:00,1.0,,,,,,,,1.0,1.0,1.9877690929934033,1.0,,,,0.8859859529984533,,1.0,1.0,,,3.020597879003617,,,,,,,,,,,,,,,,,,,,,19120.0,1.985218421999889,0.157315797279032,0.8857188030015095,,binary,,cic-malmem,,,1,,quantum,,,qsvm,,,,None,0.1,,,1.0,angle,,
edb0594ee09648cb8304f3da2fc6694a,FINISHED,2026-07-09 11:10:05.575000+00:00,2026-07-09 11:10:05.657000+00:00,0.95,,,,,,,,0.95,0.95,1.8116971689960337,0.9049999999999999,,,,1.0248501139940345,,0.95,0.9,,,3.0575984450042597,,,,,,,,,,,,,,,,,,,,,19120.0,1.8093101709964685,0.1494398669467518,1.024541576000047,,binary,,cic-malmem,,,1,,quantum,,,qsvm,,,,None,0.1,,,1.0,angle,,
dcb243b09cae4d6cab7d047f52cff1fb,FINISHED,2026-07-09 11:10:11.756000+00:00,2026-07-09 11:10:11.891000+00:00,1.0,,,,,,,,1.0,1.0,1.863745017995825,1.0,,,,1.1472249049984384,,1.0,1.0,,,3.067407868002192,,,,,,,,,,,,,,,,,,,,,19120.0,1.8612183799996274,0.3097901918277508,1.1468129019995104,,binary,,cic-malmem,,,1,,quantum,,,qsvm,,,,None,0.1,,,1.0,angle,,
372fa66ba303462b955c8cefa6261e52,FINISHED,2026-07-09 11:10:18.363000+00:00,2026-07-09 11:10:18.492000+00:00,0.95,,,,,,,,0.95,0.949874686716792,2.2755287079999107,1.0,,,,1.2302958119980758,,0.9545454545454546,0.9045340337332909,,,2.9440187429936486,,,,,,,,,,,,,,,,,,,,,19120.0,2.272965367999859,0.1274757207490804,1.2298601209986373,,binary,,cic-malmem,,,1,,quantum,,,qsvm,,,,None,0.1,,,1.0,angle,,
e248d73a0f2242cab5297694fb8c9da3,FINISHED,2026-07-09 11:10:25.881000+00:00,2026-07-09 11:10:25.982000+00:00,1.0,,,,,,,,1.0,1.0,2.2033409970026696,1.0,,,,1.1761091029984527,,1.0,1.0,,,3.9868281809976907,,,,,,,,,,,,,,,,,,,,,19120.0,2.200798310994287,0.16731876431542347,1.175734538002871,,binary,,cic-malmem,,,1,,quantum,,,qsvm,,,,None,0.1,,,1.0,angle,,
dc6c742233f444c9a84af8d67308eeb8,FINISHED,2026-07-09 11:13:13.825000+00:00,2026-07-09 11:13:13.933000+00:00,1.0,,,,,,,,1.0,1.0,0.2911591349984519,1.0,,,,0.03886647300532786,,1.0,1.0,,,13.509252288000425,,,,,,,,,,,,,,,,,,,,,,,,,,binary,,cic-malmem,,300,1,,classical,-1,,random_forest,31,sqrt,8,,,,,,,,
756cde64b6e942a09a95a92e87bf920c,FINISHED,2026-07-09 11:13:23.966000+00:00,2026-07-09 11:13:24.075000+00:00,0.95,,,,,,,,0.95,0.95,0.4491425460000755,0.95,,,,0.04015281299507478,,0.95,0.9,,,9.48647734500264,,,,,,,,,,,,,,,,,,,,,,,,,,binary,,cic-malmem,,300,1,,classical,-1,,random_forest,31,sqrt,8,,,,,,,,
0c962e4e58a44d30bf93f0b65474c973,FINISHED,2026-07-09 11:13:34.952000+00:00,2026-07-09 11:13:35.058000+00:00,1.0,,,,,,,,1.0,1.0,0.4633459240067168,1.0,,,,0.035553873000026215,,1.0,1.0,,,10.32235450699227,,,,,,,,,,,,,,,,,,,,,,,,,,binary,,cic-malmem,,300,1,,classical,-1,,random_forest,31,sqrt,8,,,,,,,,
74d5c4788a6147269e7d26b8d0877e43,FINISHED,2026-07-09 11:13:46.173000+00:00,2026-07-09 11:13:46.279000+00:00,1.0,,,,,,,,1.0,1.0,0.43003429600503296,1.0,,,,0.042613844001607504,,1.0,1.0,,,10.583681707990763,,,,,,,,,,,,,,,,,,,,,,,,,,binary,,cic-malmem,,300,1,,classical,-1,,random_forest,31,sqrt,8,,,,,,,,
cf218f6a61834c34a33feeab41845737,FINISHED,2026-07-09 11:13:56.327000+00:00,2026-07-09 11:13:56.430000+00:00,1.0,,,,,,,,1.0,1.0,0.44065521999436896,1.0,,,,0.038817615997686516,,1.0,1.0,,,9.509878750002827,,,,,,,,,,,,,,,,,,,,,,,,,,binary,,cic-malmem,,300,1,,classical,-1,,random_forest,31,sqrt,8,,,,,,,,
